dataset,method,recall@10,delta_recall@10,ndcg@10,delta_ndcg@10,recall@20,delta_recall@20,ndcg@20,delta_ndcg@20
Goodreads,crds_full_cuda,0.12388382107019424,-0.005827613174915314,0.06399913877248764,-0.0021748915314674377,0.16702698171138763,-0.00949336588382721,0.07484003901481628,-0.0031531155109405518
Goodreads,crds_full_cpu_backup,0.12529373168945312,-0.004417702555656433,0.06471024453639984,-0.0014637857675552368,0.17182065546512604,-0.004699692130088806,0.07648630440235138,-0.0015068501234054565
Goodreads,crds_weak,0.12425979971885681,-0.005451634526252747,0.06430575251579285,-0.0018682777881622314,0.1698467880487442,-0.006673559546470642,0.07583502680063248,-0.002158127725124359
Goodreads,crds_weak_fewer_neg,0.12642166018486023,-0.0032897740602493286,0.0648939311504364,-0.0012800991535186768,0.16928282380104065,-0.007237523794174194,0.07569608092308044,-0.0022970736026763916
Goodreads,crds_no_transition,0.12303788214921951,-0.006673552095890045,0.0639135017991066,-0.0022605285048484802,0.17304258048534393,-0.0034777671098709106,0.07648150622844696,-0.0015116482973098755
Goodreads,no_cooccurrence,0.12632766366004944,-0.0033837705850601196,0.06493478268384933,-0.0012392476201057434,0.17323057353496552,-0.0032897740602493286,0.07673951238393784,-0.0012536421418190002
Games_5core,crds_full,0.08477452397346497,-0.0020883604884147644,0.05376629903912544,-0.0005281567573547363,0.11009593307971954,-0.0033935904502868652,0.06016232445836067,-0.0008738450706005096
Games_5core,crds_weak,0.08581870049238205,-0.0010441839694976807,0.050328340381383896,-0.003966115415096283,0.11185798794031143,-0.0016315355896949768,0.056925855576992035,-0.004110313951969147
Games_5core,crds_weak_fewer_neg,0.08614501357078552,-0.0007178708910942078,0.0520096980035305,-0.0022847577929496765,0.11316321790218353,-0.000326305627822876,0.05884496122598648,-0.002191208302974701
Games_5core,crds_no_transition,0.084578737616539,-0.0022841468453407288,0.051625002175569534,-0.0026694536209106445,0.1127716526389122,-0.0007178708910942078,0.05871834233403206,-0.002317827194929123
Games_5core,no_cooccurrence,0.08483978360891342,-0.0020231008529663086,0.0533209890127182,-0.0009734667837619781,0.10800757259130478,-0.00548195093870163,0.05914968624711037,-0.0018864832818508148
Movies_5core,crds_full,0.06528428941965103,-0.0006594359874725342,0.04094898700714111,-0.0009074956178665161,0.0825762003660202,0.000805974006652832,0.04532397538423538,-0.0005398876965045929
Movies_5core,crds_weak,0.06609027087688446,0.00014654546976089478,0.041754405945539474,-0.00010207667946815491,0.0805978924036026,-0.0011723339557647705,0.04541773349046707,-0.00044612959027290344
Movies_5core,crds_weak_fewer_neg,0.06740914285182953,0.0014654174447059631,0.04232475534081459,0.00046827271580696106,0.08191676437854767,0.00014653801918029785,0.045999784022569656,0.0001359209418296814
Movies_5core,crds_no_transition,0.06880129128694534,0.0028575658798217773,0.0430290661752224,0.0011725835502147675,0.08177022635936737,0.0,0.04630237817764282,0.0004385150969028473
Movies_5core,no_cooccurrence,0.06755568832159042,0.001611962914466858,0.04233959689736366,0.0004831142723560333,0.0828692838549614,0.0010990574955940247,0.04620687663555145,0.00034301355481147766
